"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"19","300 #Indigenous #Philippine #Red Lauan Planted as #LIVING #LEGACY #Tribute to the Late-Sen. Miriam Defensor... https://t.co/zpm6CM3sPo",FALSE,0,NA,2016-10-11 05:09:50,FALSE,NA,"785708967011889152",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","FEEDInc",0,FALSE,FALSE,NA,NA
"20","300 #Indigenous #Philippine #Red Lauan Planted as #LIVING #LEGACY #Tribute to the Late-Sen. Miriam Defensor... https://t.co/MnuB8xVG0R",FALSE,0,NA,2016-10-11 05:08:02,FALSE,NA,"785708516237422596",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","FEEDInc",0,FALSE,FALSE,NA,NA
"21","Miriam Defensor Santiago

Good mother
Good daughter
Excellent judge, teacher, lawyer, politician

Yet she didn't become our president. <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B2><U+0094>",FALSE,3,NA,2016-10-11 04:40:40,FALSE,NA,"785701626505891840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GraSodsod",0,FALSE,FALSE,NA,NA
"22","RT @UnangHirit: Bukas sa publiko ang burol ng namayapang dating Senadora Miriam Defensor Santiago sa Immaculate Concepcion Cathedral sa Que…",FALSE,0,NA,2016-10-11 03:59:46,FALSE,NA,"785691334367596545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sid98855481",10,TRUE,FALSE,NA,NA
"23","RT @Brigada_GNTV: Karamihan sa mga taga-suporta ni Sen. Miriam Defensor-Santiago ay kabataan. Halos apat na araw ginawa ni Onofre ang strin…",FALSE,0,NA,2016-10-11 03:16:13,FALSE,NA,"785680374764417025",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marketnabil",6,TRUE,FALSE,NA,NA
"24","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-11 03:09:41,FALSE,NA,"785678731125792769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Du30Movements",525,TRUE,FALSE,NA,NA
"25","@emallene nobody in the PI is fine with it. They're trying to find ways to get rid of him. Miriam Defensor Santiago should have been our Prz",FALSE,0,"emallene",2016-10-11 02:22:07,FALSE,"785666397783273476","785666762327011328","51671686","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thealexnicholle",0,FALSE,FALSE,NA,NA
"26","shell tabangao refinery life: NTVL: Dating senadora Miriam Defensor-Santiago, pu... https://t.co/CszHN89xs6",FALSE,1,NA,2016-10-11 01:41:39,FALSE,NA,"785656578636513280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ant8117",1,FALSE,FALSE,NA,NA
"27","RT @justfenech: Saludo kami sayo Sen. Miriam Defensor Santiago. You have been a brilliant example of women empowerment. #MMKSenatorMiriam",FALSE,0,NA,2016-10-11 01:28:46,FALSE,NA,"785653334019485697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","babyfenech",140,TRUE,FALSE,NA,NA
"28","RT @Alyssha_Lykah: “Kapag wala kayong maisagot as exams ilagay ninyo, magmahal. Dahil kailanman hindi mali ang magmahal.”

- Miriam Defenso…",FALSE,0,NA,2016-10-11 00:54:23,FALSE,NA,"785644681237557248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jean_rheignnnnn",2,TRUE,FALSE,NA,NA
"29","philippines slept on sen miriam defensor santiago. rip my love. https://t.co/gvKTVnlKib",FALSE,1,NA,2016-10-11 00:29:10,FALSE,NA,"785638336303992832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harrystyvles",0,FALSE,FALSE,NA,NA
"30","RT @senmiriam: Senator Miriam Defensor Santiago died peacefully today at 8:52 a.m. Details of the interment will be announced later. (1/2)",FALSE,0,NA,2016-10-11 00:28:30,FALSE,NA,"785638169760763904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrqzmonaaa",10632,TRUE,FALSE,NA,NA
"31","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-10 23:03:29,FALSE,NA,"785616773504704512",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","reah_maria",525,TRUE,FALSE,NA,NA
"32","RT @ABSCBNNews: Narciso Santiago: 'Yung pagmamahal, pagpuri sa kanya (Miriam Defensor-Santiago) sana nagawa noong nabubuhay pa siya https:/…",FALSE,0,NA,2016-10-10 19:20:36,FALSE,NA,"785560682154471424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmylouiseMoya",376,TRUE,FALSE,NA,NA
"33","RT @senmiriam: Senator Miriam Defensor Santiago died peacefully today at 8:52 a.m. Details of the interment will be announced later. (1/2)",FALSE,0,NA,2016-10-10 18:17:13,FALSE,NA,"785544731770122240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Anth6F",10632,TRUE,FALSE,NA,NA
"34","@JamPeteBA1971 @JP_ChristInYou @LazyBored2000 Hail to the Lady Senator!!!...We will Miss You, Senator Miriam Defens… https://t.co/7162F6UQmB",FALSE,0,"JamPeteBA1971",2016-10-10 17:24:41,TRUE,NA,"785531511927812096","714091290447577088","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LazyBored2000",0,FALSE,FALSE,NA,NA
"35","RT @inquirerdotnet: .@senmiriam: ""Some people are like  cancer cells."" 

#RIPMiriam https://t.co/kxo08aAZXl https://t.co/XwLM3jk7JU",FALSE,0,NA,2016-10-10 17:22:41,FALSE,NA,"785531006556090368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KarlDrei01",309,TRUE,FALSE,NA,NA
"36","RT @iamsuperbianca: Nakikiisa sa pagdadalamhati sa pagpanaw ni Miriam Defensor Santiago. One of the greats. Salamat sa lahat, Ma'am. <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>",FALSE,0,NA,2016-10-10 17:21:58,FALSE,NA,"785530830017835008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salesonheels",406,TRUE,FALSE,NA,NA
"37","RT @gillymarasigan: ""If I could go back in time, di ko ibubuhos ang oras ko sa pag-aaral."" -Miriam Defensor Santiago",FALSE,0,NA,2016-10-10 17:15:54,FALSE,NA,"785529300598550529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","daisylinyambao",2,TRUE,FALSE,NA,NA
"38","RT @harold_geronimo: The late Sen. Miriam Defensor-Santiago explains why Duterte's exaggerated statements shouldn't be taken seriously. htt…",FALSE,0,NA,2016-10-10 16:41:49,FALSE,NA,"785520724320464896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jrlaput",8,TRUE,FALSE,NA,NA
"39","RT @senmiriam: Senator Miriam Defensor Santiago died peacefully today at 8:52 a.m. Details of the interment will be announced later. (1/2)",FALSE,0,NA,2016-10-10 16:21:45,FALSE,NA,"785515673275498497",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","z5_la",10632,TRUE,FALSE,NA,NA
"40","WATCH: Children pay tribute to Miriam Defensor Santiago https://t.co/rzHdDBGEJW",FALSE,0,NA,2016-10-10 16:08:29,FALSE,NA,"785512333514866688",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","taurean_tiger",0,FALSE,FALSE,NA,NA
"41","RT @cnnphilippines: Relive some of the most memorable pick up lines of Senator Miriam Defensor Santiago. https://t.co/V09Zb6tKlf #RIPMiriam…",FALSE,0,NA,2016-10-10 15:58:43,FALSE,NA,"785509876940230656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","karlzulueta",296,TRUE,FALSE,NA,NA
"42","Minsan naisip ko talagang maging Miriam Defensor Santiago. If I was that strong, bold, and smart; I'd probably slapped hundred pips by now.<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,NA,2016-10-10 15:58:26,FALSE,NA,"785509806471643136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zendalljenner",0,FALSE,FALSE,NA,NA
"43","RT @Senyora: Maraming Salamat Sen. Miriam Defensor Santiago. Nagluluksa ang buong Pilipinas <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>",FALSE,0,NA,2016-10-10 15:22:48,FALSE,NA,"785500838718377984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","debsdevs",5076,TRUE,FALSE,NA,NA
"44","""I will never quit..
I will never stop..
I will never withdraw!""
—Miriam Defensor Santiago",FALSE,1,NA,2016-10-10 15:03:46,FALSE,NA,"785496049838280704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nerishcst",0,FALSE,FALSE,NA,NA
"45","Kung wala kang masagot sa exam, isulat mo ""MAGMAHAL"" dahil wala naman mali sa magmahal. -Sen. Miriam Defensor Santiago  <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>",FALSE,1,NA,2016-10-10 14:33:06,FALSE,NA,"785488330909704196",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elileymanasan",0,FALSE,FALSE,NA,NA
"46","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-10 14:08:27,FALSE,NA,"785482127936598016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CarlaRaeJepsens",525,TRUE,FALSE,NA,NA
"47","RT @gillymarasigan: ""If I could go back in time, di ko ibubuhos ang oras ko sa pag-aaral."" -Miriam Defensor Santiago",FALSE,0,NA,2016-10-10 13:45:27,FALSE,NA,"785476338467479553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leiganders",2,TRUE,FALSE,NA,NA
"48","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-10 13:27:38,FALSE,NA,"785471856081981440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bosespagbabago",525,TRUE,FALSE,NA,NA
"49","RT @StarCinema: Ating balikan ang 'di malilimutang istorya ng buhay ng ""Iron Lady of Asia,"" Miriam Defensor-Santiago, bukas sa #MMK… https:…",FALSE,0,NA,2016-10-10 13:24:39,FALSE,NA,"785471104299040768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CeletariaAngel",75,TRUE,FALSE,NA,NA
"50","President Rodrigo Duterte wake visit to the Late Senator Miriam Defensor-Santiago 10/2/2016 https://t.co/9EYpSkgq3Z",FALSE,0,NA,2016-10-10 13:04:29,FALSE,NA,"785466028398632960",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Elcid_Cinco",0,FALSE,FALSE,NA,NA
"51","We're third on the list! Read up and find out what #MAppPH is all about.

https://t.co/0EB6VdGHDQ",FALSE,0,NA,2016-10-10 12:55:45,FALSE,NA,"785463833678663680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mapp_ph",0,FALSE,FALSE,NA,NA
"52","Senator Miriam Defensor Santiago, thank you for serving the Filipino People. Mabuhay po kayo!",FALSE,0,NA,2016-10-10 12:54:07,FALSE,NA,"785463419755302915",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamanyella",0,FALSE,FALSE,NA,NA
"53","Words of Faith by the late Senator Miriam Defensor Santiago https://t.co/3zqZbQYiMZ via @bitlanders",FALSE,1,NA,2016-10-10 12:40:48,FALSE,NA,"785460071740256256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","junebride31",0,FALSE,FALSE,NA,NA
"54","Liked on YouTube: President Rodrigo Duterte wake visit to the Late Senator Miriam Defensor-Santiago 10/2/2016 https://t.co/qTBRWmHNuM",FALSE,0,NA,2016-10-10 11:29:06,FALSE,NA,"785442027668398080",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Cinco_Windsor",0,FALSE,FALSE,NA,NA
"55","I liked a @YouTube video https://t.co/Ir8xJ3rSMS President Rodrigo Duterte wake visit to the Late Senator Miriam Defensor-Santiago",FALSE,0,NA,2016-10-10 11:23:58,FALSE,NA,"785440734824505344",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Elcid_Cinco",0,FALSE,FALSE,NA,NA
"56","Kakapanood lang ulit ng MMK sa YT, R.I.P
Miriam Defensor Santiago #MMKSenatorMiriam",FALSE,0,NA,2016-10-10 11:12:54,FALSE,NA,"785437949131313153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ItsArianParker",0,FALSE,FALSE,NA,NA
"57","RT @BuzzFeedPH: 14 Times Miriam Defensor-Santiago Was Your Spirit Human https://t.co/KT1pDgNx2S https://t.co/MJL8SxKFXr",FALSE,0,NA,2016-10-10 11:01:24,FALSE,NA,"785435054096863232",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","tattdsmol",60,TRUE,FALSE,NA,NA
"58","RT @LadySponsors: The USTHCOLS mourns for the loss of such an impeccable lady, Sen. Miriam Defensor-Santiago. https://t.co/K6p2JgPqqZ",FALSE,0,NA,2016-10-10 10:42:06,FALSE,NA,"785430199227682816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","viademesa",14,TRUE,FALSE,NA,NA
"59","Who Am I and What Really #Matters in #Life?

With the passing away of #Miriam Defensor #Santiago at the age of 71... https://t.co/iyvPFZd4nw",FALSE,0,NA,2016-10-10 09:47:02,FALSE,NA,"785416340773466112",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","MetroCebuNews",0,FALSE,FALSE,NA,NA
"60","""This is goodbye. I shall not importune you any longer. I shall fade into the dark like Batman."" - Sen. Miriam Defe… https://t.co/qx28A3R1ew",FALSE,0,NA,2016-10-10 09:14:56,TRUE,NA,"785408264087359488",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","toni_powers",0,FALSE,FALSE,NA,NA
